 INFO  | 2017-09-22 CEST 11:38:35 | Evaluating system, bash shell and script execution
 INFO  | 2017-09-22 CEST 11:38:35 |   System info: Linux 4.12.8-2-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-09-22 CEST 11:38:35 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-09-22 CEST 11:38:35 |   Command used: partNex2MrBayes_2017.09.22.1000.sh -f /home/michael_science/git/michaelgruenstaeudl_partNex2MrBayes/examples/01_input/Faircloth_etal_2013.nex -t jmodeltest -b /home/michael_science/binaries/jModelTest_2.1.7/jModelTest.jar -o /home/michael_science/git/michaelgruenstaeudl_partNex2MrBayes/examples/01_input/Faircloth_etal_2013_jmodeltest_2017.09.22.1138.mrbayes -v -k
 INFO  | 2017-09-22 CEST 11:38:35 | Checking infiles
 INFO  | 2017-09-22 CEST 11:38:35 |   Type of Modeltesting selected: jmodeltest
 INFO  | 2017-09-22 CEST 11:38:35 | Re-formatting input NEXUS file
 INFO  | 2017-09-22 CEST 11:38:37 | Splitting NEXUS file into blocks
 INFO  | 2017-09-22 CEST 11:38:37 | Confirming that partitions do not overlap
 INFO  | 2017-09-22 CEST 11:38:37 | Ensuring that partitions form a continuous range
 INFO  | 2017-09-22 CEST 11:38:37 | Splitting matrix into partitions
 INFO  | 2017-09-22 CEST 11:39:24 | Preparing files for modeltesting
 INFO  | 2017-09-22 CEST 11:39:24 | Conducting modeltesting via: jmodeltest
 INFO  | 2017-09-22 CEST 11:40:41 |   Processing complete for partition: partition_001_10166_orylat2_chr13_13519567_13519747; Execution time: 1.283 minutes
 INFO  | 2017-09-22 CEST 11:41:09 |   Processing complete for partition: partition_002_10231_orylat2_chr13_14145234_14145414; Execution time: 0.450 minutes
 INFO  | 2017-09-22 CEST 11:41:59 |   Processing complete for partition: partition_003_10259_orylat2_chr13_14195639_14195819; Execution time: 0.833 minutes
 INFO  | 2017-09-22 CEST 11:42:38 |   Processing complete for partition: partition_004_10268_orylat2_chr13_14227519_14227698; Execution time: 0.650 minutes
