 INFO  | 2017-10-30 CET 21:24:49 | Evaluating system, bash shell and script execution
 INFO  | 2017-10-30 CET 21:24:49 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-10-30 CET 21:24:49 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-10-30 CET 21:24:49 |   Command used: partitNex2MrBayes_2017.10.30.1500.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitionfinder -b /home/michael_science/git/partitionfinder/PartitionFinder.py -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012_partitionfinder_2017.10.30.2124.mrbayes -v -k
 INFO  | 2017-10-30 CET 21:24:49 | Checking infiles
 INFO  | 2017-10-30 CET 21:24:49 |   Type of Modeltesting selected: partitionfinder
 INFO  | 2017-10-30 CET 21:24:49 | Re-formatting input NEXUS file
 INFO  | 2017-10-30 CET 21:24:49 | Splitting NEXUS file into blocks
 INFO  | 2017-10-30 CET 21:24:49 | Confirming that partitions do not overlap
 INFO  | 2017-10-30 CET 21:24:49 | Ensuring that partitions form a continuous range
 INFO  | 2017-10-30 CET 21:24:49 | Splitting matrix into partitions
 INFO  | 2017-10-30 CET 21:24:50 | Preparing files for modeltesting
 INFO  | 2017-10-30 CET 21:24:50 | Conducting modeltesting via: partitionfinder
 INFO  | 2017-10-30 CET 21:28:18 | Extracting information from modeltesting results
 INFO  | 2017-10-30 CET 21:28:18 | Assembling output file
 INFO  | 2017-10-30 CET 21:28:19 | Cleaning up
 INFO  | 2017-10-30 CET 21:28:19 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012.nex; Execution time: 3.500 minutes
