INFO     | 2017-10-30 21:24:51,043 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-10-30 21:24:51,046 | config     | Setting 'alignment' to 'Wainwright_etal_2012_PhylipFormatd'
INFO     | 2017-10-30 21:24:51,046 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-10-30 21:24:51,046 | parser     | You set 'models' to: mrbayes
INFO     | 2017-10-30 21:24:51,054 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2017-10-30 21:24:51,055 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2017-10-30 21:24:51,055 | config     | Setting 'model_selection' to 'aic'
INFO     | 2017-10-30 21:24:51,059 | config     | Setting 'search' to 'rcluster'
INFO     | 2017-10-30 21:24:51,059 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2017-10-30 21:24:51,059 | config     | Looking for alignment file './Wainwright_etal_2012_PhylipFormatd'...
INFO     | 2017-10-30 21:24:51,059 | threadpool | Using 4 cpus
INFO     | 2017-10-30 21:24:51,059 | analysis   | Beginning Analysis
INFO     | 2017-10-30 21:24:51,070 | alignment  | Reading alignment file './Wainwright_etal_2012_PhylipFormatd'
INFO     | 2017-10-30 21:24:51,091 | analysis   | Starting tree will be estimated from the data.
INFO     | 2017-10-30 21:24:51,092 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2017-10-30 21:24:51,092 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2017-10-30 21:26:31,918 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2017-10-30 21:27:08,016 | raxml      | ML topology estimation finished
INFO     | 2017-10-30 21:27:08,017 | analysis_m | Performing relaxed clustering analysis
INFO     | 2017-10-30 21:27:08,017 | analysis_m |    Set rcluster-max to 1000
INFO     | 2017-10-30 21:27:08,017 | analysis_m |    PartitionFinder will have to analyse 91 subsets to complete this analyses
INFO     | 2017-10-30 21:27:08,017 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2017-10-30 21:27:17,227 | progress   |       Finished subset 1/10, 10.00 percent done
INFO     | 2017-10-30 21:27:18,134 | progress   |       Finished subset 2/10, 20.00 percent done
INFO     | 2017-10-30 21:27:20,247 | progress   |       Finished subset 3/10, 30.00 percent done
INFO     | 2017-10-30 21:27:24,115 | progress   |       Finished subset 4/10, 40.00 percent done
INFO     | 2017-10-30 21:27:26,143 | progress   |       Finished subset 5/10, 50.00 percent done
INFO     | 2017-10-30 21:27:29,410 | progress   |       Finished subset 6/10, 60.00 percent done
INFO     | 2017-10-30 21:27:29,582 | progress   |       Finished subset 7/10, 70.00 percent done
