INFO     | 2017-10-27 20:22:49,790 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-10-27 20:22:49,793 | config     | Setting 'alignment' to 'Faircloth_etal_2013_PhylipFormatd'
INFO     | 2017-10-27 20:22:49,793 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-10-27 20:22:49,794 | parser     | You set 'models' to: mrbayes
INFO     | 2017-10-27 20:22:49,807 | model_load | This analysis will use the following 24 models of molecular evolution
INFO     | 2017-10-27 20:22:49,807 | model_load | JC, K80, SYM, F81, HKY, GTR, JC+G, K80+G, SYM+G, F81+G, HKY+G, GTR+G, JC+I, K80+I, SYM+I, F81+I, HKY+I, GTR+I, JC+I+G, K80+I+G, SYM+I+G, F81+I+G, HKY+I+G, GTR+I+G
INFO     | 2017-10-27 20:22:49,807 | config     | Setting 'model_selection' to 'aic'
INFO     | 2017-10-27 20:22:49,972 | config     | Setting 'search' to 'greedy'
INFO     | 2017-10-27 20:22:49,972 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2017-10-27 20:22:49,972 | config     | Looking for alignment file './Faircloth_etal_2013_PhylipFormatd'...
INFO     | 2017-10-27 20:22:49,973 | threadpool | Using 4 cpus
INFO     | 2017-10-27 20:22:49,973 | analysis   | Beginning Analysis
INFO     | 2017-10-27 20:22:50,003 | alignment  | Reading alignment file './Faircloth_etal_2013_PhylipFormatd'
INFO     | 2017-10-27 20:22:50,073 | analysis   | Starting tree will be estimated from the data.
INFO     | 2017-10-27 20:22:50,093 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2017-10-27 20:22:50,097 | raxml      | Using a separate GTR+G model for each data block
ERROR    | 2017-10-30 10:03:04,442 | main       | User interrupted the Program
