 INFO  | 2017-11-14 CET 00:43:12 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-14 CET 00:43:12 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-14 CET 00:43:12 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-14 CET 00:43:12 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Fong_etal_2012.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitionfinder -b /home/michael_science/git/partitionfinder/PartitionFinder.py -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Fong_etal_2012_partitionfinder_2017.11.14.0043.mrbayes -v -k
 INFO  | 2017-11-14 CET 00:43:12 | Checking infiles
 INFO  | 2017-11-14 CET 00:43:12 |   Type of Modeltesting selected: partitionfinder
 INFO  | 2017-11-14 CET 00:43:12 | Re-formatting input NEXUS file
 INFO  | 2017-11-14 CET 00:43:13 | Splitting NEXUS file into blocks
 INFO  | 2017-11-14 CET 00:43:13 | Confirming that partitions do not overlap
 INFO  | 2017-11-14 CET 00:43:13 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-14 CET 00:43:13 | Splitting matrix into partitions
 INFO  | 2017-11-14 CET 00:43:18 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-14 CET 00:43:18 | Conducting partitionfinding / modeltesting via: partitionfinder
 INFO  | 2017-11-14 CET 00:52:12 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-14 CET 00:52:12 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-14 CET 00:52:14 | Assemble new data- and new sets-block given optimal partitions
 INFO  | 2017-11-14 CET 00:52:25 | Writing new NEXUS output file.
 INFO  | 2017-11-14 CET 00:52:25 | Assembling output file
 INFO  | 2017-11-14 CET 00:52:26 | Cleaning up
 INFO  | 2017-11-14 CET 00:52:26 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Fong_etal_2012.nex; Execution time: 9.233 minutes
