 INFO  | 2017-11-13 CET 22:43:18 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-13 CET 22:43:18 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-13 CET 22:43:18 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-13 CET 22:43:18 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Fong_etal_2012.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitiontest -b /usr/local/bin/partest -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Fong_etal_2012_partitiontest_2017.11.13.2243.mrbayes -v -k
 INFO  | 2017-11-13 CET 22:43:18 | Checking infiles
 INFO  | 2017-11-13 CET 22:43:18 |   Type of Modeltesting selected: partitiontest
 INFO  | 2017-11-13 CET 22:43:18 | Re-formatting input NEXUS file
 INFO  | 2017-11-13 CET 22:43:18 | Splitting NEXUS file into blocks
 INFO  | 2017-11-13 CET 22:43:18 | Confirming that partitions do not overlap
 INFO  | 2017-11-13 CET 22:43:18 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-13 CET 22:43:19 | Splitting matrix into partitions
 INFO  | 2017-11-13 CET 22:43:23 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-13 CET 22:43:24 | Conducting partitionfinding / modeltesting via: partitiontest
 INFO  | 2017-11-14 CET 00:42:59 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-14 CET 00:43:00 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-14 CET 00:43:01 | Assemble new data- and new sets-block given optimal partitions
 INFO  | 2017-11-14 CET 00:43:11 | Writing new NEXUS output file.
 INFO  | 2017-11-14 CET 00:43:11 | Assembling output file
 INFO  | 2017-11-14 CET 00:43:12 | Cleaning up
 INFO  | 2017-11-14 CET 00:43:12 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Fong_etal_2012.nex; Execution time: 119.900 minutes
