 INFO  | 2017-11-14 CET 00:56:30 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-14 CET 00:56:30 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-14 CET 00:56:30 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-14 CET 00:56:30 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitionfinder -b /home/michael_science/git/partitionfinder/PartitionFinder.py -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_2017.11.14.0056.mrbayes -v -k
 INFO  | 2017-11-14 CET 00:56:30 | Checking infiles
 INFO  | 2017-11-14 CET 00:56:30 |   Type of Modeltesting selected: partitionfinder
 INFO  | 2017-11-14 CET 00:56:30 | Re-formatting input NEXUS file
 INFO  | 2017-11-14 CET 00:56:30 | Splitting NEXUS file into blocks
 INFO  | 2017-11-14 CET 00:56:30 | Confirming that partitions do not overlap
 INFO  | 2017-11-14 CET 00:56:30 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-14 CET 00:56:30 | Splitting matrix into partitions
 INFO  | 2017-11-14 CET 00:56:34 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-14 CET 00:56:34 | Conducting partitionfinding / modeltesting via: partitionfinder
 INFO  | 2017-11-14 CET 00:57:08 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-14 CET 00:57:08 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-14 CET 00:57:10 | Assemble new data- and new sets-block given optimal partitions
 INFO  | 2017-11-14 CET 00:57:17 | Writing new NEXUS output file.
 INFO  | 2017-11-14 CET 00:57:17 | Assembling output file
 INFO  | 2017-11-14 CET 00:57:18 | Cleaning up
 INFO  | 2017-11-14 CET 00:57:18 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017.nex; Execution time: 0.800 minutes
