 INFO  | 2017-11-15 CET 00:48:52 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-15 CET 00:48:52 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-15 CET 00:48:52 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-15 CET 00:48:52 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t jmodeltest -b /home/michael_science/binaries/jModelTest_2.1.7/jModelTest.jar -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW_jmodeltest_2017.11.15.0048.mrbayes -v -k
 INFO  | 2017-11-15 CET 00:48:52 | Checking infiles
 INFO  | 2017-11-15 CET 00:48:52 |   Type of Modeltesting selected: jmodeltest
 INFO  | 2017-11-15 CET 00:48:52 | Re-formatting input NEXUS file
 INFO  | 2017-11-15 CET 00:48:53 | Splitting NEXUS file into blocks
 INFO  | 2017-11-15 CET 00:48:53 | Confirming that partitions do not overlap
 INFO  | 2017-11-15 CET 00:48:53 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-15 CET 00:48:53 | Splitting matrix into partitions
 INFO  | 2017-11-15 CET 00:49:01 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-15 CET 00:49:01 | Conducting partitionfinding / modeltesting via: jmodeltest
 INFO  | 2017-11-15 CET 00:50:14 |   Processing complete for partition: original_partition_0001_Subset1; Execution time: 1.217 minutes
 INFO  | 2017-11-15 CET 00:53:10 |   Processing complete for partition: original_partition_0002_Subset2; Execution time: 2.933 minutes
 INFO  | 2017-11-15 CET 00:54:38 |   Processing complete for partition: original_partition_0003_Subset3; Execution time: 1.467 minutes
 INFO  | 2017-11-15 CET 00:55:53 |   Processing complete for partition: original_partition_0004_Subset4; Execution time: 1.250 minutes
 INFO  | 2017-11-15 CET 00:56:17 |   Processing complete for partition: original_partition_0005_Subset5; Execution time: 0.400 minutes
 INFO  | 2017-11-15 CET 00:58:23 |   Processing complete for partition: original_partition_0006_Subset6; Execution time: 2.100 minutes
 INFO  | 2017-11-15 CET 00:59:31 |   Processing complete for partition: original_partition_0007_Subset7; Execution time: 1.133 minutes
 INFO  | 2017-11-15 CET 01:00:04 |   Processing complete for partition: original_partition_0008_Subset8; Execution time: 0.550 minutes
 INFO  | 2017-11-15 CET 01:01:11 |   Processing complete for partition: original_partition_0009_Subset9; Execution time: 1.117 minutes
 INFO  | 2017-11-15 CET 01:02:17 |   Processing complete for partition: original_partition_0010_Subset10; Execution time: 1.100 minutes
 INFO  | 2017-11-15 CET 01:07:25 |   Processing complete for partition: original_partition_0011_Subset11; Execution time: 5.133 minutes
 INFO  | 2017-11-15 CET 01:09:18 |   Processing complete for partition: original_partition_0012_Subset12; Execution time: 1.883 minutes
 INFO  | 2017-11-15 CET 01:11:57 |   Processing complete for partition: original_partition_0013_Subset13; Execution time: 2.650 minutes
 INFO  | 2017-11-15 CET 01:12:20 |   Processing complete for partition: original_partition_0014_Subset14; Execution time: 0.383 minutes
 INFO  | 2017-11-15 CET 01:12:38 |   Processing complete for partition: original_partition_0015_Subset15; Execution time: 0.300 minutes
 INFO  | 2017-11-15 CET 01:13:43 |   Processing complete for partition: original_partition_0016_Subset16; Execution time: 1.083 minutes
 INFO  | 2017-11-15 CET 01:15:04 |   Processing complete for partition: original_partition_0017_Subset17; Execution time: 1.350 minutes
 INFO  | 2017-11-15 CET 01:15:25 |   Processing complete for partition: original_partition_0018_Subset18; Execution time: 0.350 minutes
 INFO  | 2017-11-15 CET 01:16:07 |   Processing complete for partition: original_partition_0019_Subset19; Execution time: 0.700 minutes
 INFO  | 2017-11-15 CET 01:17:42 |   Processing complete for partition: original_partition_0020_Subset20; Execution time: 1.583 minutes
 INFO  | 2017-11-15 CET 01:19:22 |   Processing complete for partition: original_partition_0021_Subset21; Execution time: 1.667 minutes
 INFO  | 2017-11-15 CET 01:19:56 |   Processing complete for partition: original_partition_0022_Subset22; Execution time: 0.567 minutes
 INFO  | 2017-11-15 CET 01:20:51 |   Processing complete for partition: original_partition_0023_Subset23; Execution time: 0.917 minutes
 INFO  | 2017-11-15 CET 01:21:59 |   Processing complete for partition: original_partition_0024_Subset24; Execution time: 1.133 minutes
 INFO  | 2017-11-15 CET 01:22:38 |   Processing complete for partition: original_partition_0025_Subset25; Execution time: 0.650 minutes
 INFO  | 2017-11-15 CET 01:23:25 |   Processing complete for partition: original_partition_0026_Subset26; Execution time: 0.783 minutes
 INFO  | 2017-11-15 CET 01:25:11 |   Processing complete for partition: original_partition_0027_Subset27; Execution time: 1.767 minutes
 INFO  | 2017-11-15 CET 01:26:48 |   Processing complete for partition: original_partition_0028_Subset28; Execution time: 1.617 minutes
 INFO  | 2017-11-15 CET 01:29:40 |   Processing complete for partition: original_partition_0029_Subset29; Execution time: 2.867 minutes
 INFO  | 2017-11-15 CET 01:30:32 |   Processing complete for partition: original_partition_0030_Subset30; Execution time: 0.867 minutes
 INFO  | 2017-11-15 CET 01:31:35 |   Processing complete for partition: original_partition_0031_Subset31; Execution time: 1.050 minutes
 INFO  | 2017-11-15 CET 01:33:05 |   Processing complete for partition: original_partition_0032_Subset32; Execution time: 1.500 minutes
 INFO  | 2017-11-15 CET 01:33:52 |   Processing complete for partition: original_partition_0033_Subset33; Execution time: 0.783 minutes
 INFO  | 2017-11-15 CET 01:34:16 |   Processing complete for partition: original_partition_0034_Subset34; Execution time: 0.400 minutes
 INFO  | 2017-11-15 CET 01:34:41 |   Processing complete for partition: original_partition_0035_Subset35; Execution time: 0.417 minutes
 INFO  | 2017-11-15 CET 01:35:02 |   Processing complete for partition: original_partition_0036_Subset36; Execution time: 0.350 minutes
 INFO  | 2017-11-15 CET 01:35:41 |   Processing complete for partition: original_partition_0037_Subset37; Execution time: 0.650 minutes
 INFO  | 2017-11-15 CET 01:36:40 |   Processing complete for partition: original_partition_0038_Subset38; Execution time: 0.983 minutes
 INFO  | 2017-11-15 CET 01:37:04 |   Processing complete for partition: original_partition_0039_Subset39; Execution time: 0.400 minutes
 INFO  | 2017-11-15 CET 01:38:34 |   Processing complete for partition: original_partition_0040_Subset40; Execution time: 1.500 minutes
 INFO  | 2017-11-15 CET 01:39:19 |   Processing complete for partition: original_partition_0041_Subset41; Execution time: 0.750 minutes
 INFO  | 2017-11-15 CET 01:40:03 |   Processing complete for partition: original_partition_0042_Subset42; Execution time: 0.733 minutes
 INFO  | 2017-11-15 CET 01:41:12 |   Processing complete for partition: original_partition_0043_Subset43; Execution time: 1.150 minutes
 INFO  | 2017-11-15 CET 01:43:11 |   Processing complete for partition: original_partition_0044_Subset44; Execution time: 1.983 minutes
 INFO  | 2017-11-15 CET 01:44:13 |   Processing complete for partition: original_partition_0045_Subset45; Execution time: 1.033 minutes
 INFO  | 2017-11-15 CET 01:44:59 |   Processing complete for partition: original_partition_0046_Subset46; Execution time: 0.767 minutes
 INFO  | 2017-11-15 CET 01:45:50 |   Processing complete for partition: original_partition_0047_Subset47; Execution time: 0.850 minutes
 INFO  | 2017-11-15 CET 01:46:53 |   Processing complete for partition: original_partition_0048_Subset48; Execution time: 1.050 minutes
 INFO  | 2017-11-15 CET 01:47:47 |   Processing complete for partition: original_partition_0049_Subset49; Execution time: 0.900 minutes
 INFO  | 2017-11-15 CET 01:48:37 |   Processing complete for partition: original_partition_0050_Subset50; Execution time: 0.833 minutes
 INFO  | 2017-11-15 CET 01:49:09 |   Processing complete for partition: original_partition_0051_Subset51; Execution time: 0.533 minutes
 INFO  | 2017-11-15 CET 01:54:04 |   Processing complete for partition: original_partition_0052_Subset52; Execution time: 4.917 minutes
 INFO  | 2017-11-15 CET 01:54:50 |   Processing complete for partition: original_partition_0053_Subset53; Execution time: 0.767 minutes
 INFO  | 2017-11-15 CET 01:55:15 |   Processing complete for partition: original_partition_0054_Subset54; Execution time: 0.417 minutes
 INFO  | 2017-11-15 CET 01:59:05 |   Processing complete for partition: original_partition_0055_Subset55; Execution time: 3.833 minutes
 INFO  | 2017-11-15 CET 01:59:38 |   Processing complete for partition: original_partition_0056_Subset56; Execution time: 0.550 minutes
 INFO  | 2017-11-15 CET 02:01:24 |   Processing complete for partition: original_partition_0057_Subset57; Execution time: 1.767 minutes
 INFO  | 2017-11-15 CET 02:03:17 |   Processing complete for partition: original_partition_0058_Subset58; Execution time: 1.883 minutes
 INFO  | 2017-11-15 CET 02:03:56 |   Processing complete for partition: original_partition_0059_Subset59; Execution time: 0.650 minutes
 INFO  | 2017-11-15 CET 02:04:38 |   Processing complete for partition: original_partition_0060_Subset60; Execution time: 0.700 minutes
 INFO  | 2017-11-15 CET 02:05:44 |   Processing complete for partition: original_partition_0061_Subset61; Execution time: 1.100 minutes
 INFO  | 2017-11-15 CET 02:06:33 |   Processing complete for partition: original_partition_0062_Subset62; Execution time: 0.817 minutes
 INFO  | 2017-11-15 CET 02:08:05 |   Processing complete for partition: original_partition_0063_Subset63; Execution time: 1.517 minutes
