 INFO  | 2017-11-15 CET 02:10:27 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-15 CET 02:10:27 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-15 CET 02:10:27 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-15 CET 02:10:27 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t modeltest_ng -b /home/michael_science/binaries/modeltest-ng/modeltest-ng -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW_modeltest_ng_2017.11.15.0210.mrbayes -v -k
 INFO  | 2017-11-15 CET 02:10:27 | Checking infiles
 INFO  | 2017-11-15 CET 02:10:27 |   Type of Modeltesting selected: modeltest_ng
 INFO  | 2017-11-15 CET 02:10:27 | Re-formatting input NEXUS file
 INFO  | 2017-11-15 CET 02:10:28 | Splitting NEXUS file into blocks
 INFO  | 2017-11-15 CET 02:10:28 | Confirming that partitions do not overlap
 INFO  | 2017-11-15 CET 02:10:28 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-15 CET 02:10:28 | Splitting matrix into partitions
 INFO  | 2017-11-15 CET 02:10:36 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-15 CET 02:10:38 | Conducting partitionfinding / modeltesting via: modeltest_ng
 INFO  | 2017-11-15 CET 02:10:39 |   Processing complete for partition: original_partition_0001_Subset1.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:41 |   Processing complete for partition: original_partition_0002_Subset2.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 02:10:42 |   Processing complete for partition: original_partition_0003_Subset3.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:43 |   Processing complete for partition: original_partition_0004_Subset4.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:44 |   Processing complete for partition: original_partition_0005_Subset5.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:46 |   Processing complete for partition: original_partition_0006_Subset6.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 02:10:47 |   Processing complete for partition: original_partition_0007_Subset7.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:48 |   Processing complete for partition: original_partition_0008_Subset8.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:49 |   Processing complete for partition: original_partition_0009_Subset9.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:50 |   Processing complete for partition: original_partition_0010_Subset10.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:10:53 |   Processing complete for partition: original_partition_0011_Subset11.phy; Execution time: 0.050 minutes
 INFO  | 2017-11-15 CET 02:10:55 |   Processing complete for partition: original_partition_0012_Subset12.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 02:10:58 |   Processing complete for partition: original_partition_0013_Subset13.phy; Execution time: 0.050 minutes
 INFO  | 2017-11-15 CET 02:10:58 |   Processing complete for partition: original_partition_0014_Subset14.phy; Execution time: 0.000 minutes
 INFO  | 2017-11-15 CET 02:10:59 |   Processing complete for partition: original_partition_0015_Subset15.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:00 |   Processing complete for partition: original_partition_0016_Subset16.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:02 |   Processing complete for partition: original_partition_0017_Subset17.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 02:11:02 |   Processing complete for partition: original_partition_0018_Subset18.phy; Execution time: 0.000 minutes
 INFO  | 2017-11-15 CET 02:11:03 |   Processing complete for partition: original_partition_0019_Subset19.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:04 |   Processing complete for partition: original_partition_0020_Subset20.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:06 |   Processing complete for partition: original_partition_0021_Subset21.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 02:11:06 |   Processing complete for partition: original_partition_0022_Subset22.phy; Execution time: 0.000 minutes
 INFO  | 2017-11-15 CET 02:11:07 |   Processing complete for partition: original_partition_0023_Subset23.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:09 |   Processing complete for partition: original_partition_0024_Subset24.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:09 |   Processing complete for partition: original_partition_0025_Subset25.phy; Execution time: 0.000 minutes
 INFO  | 2017-11-15 CET 02:11:10 |   Processing complete for partition: original_partition_0026_Subset26.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:12 |   Processing complete for partition: original_partition_0027_Subset27.phy; Execution time: 0.033 minutes
 INFO  | 2017-11-15 CET 02:11:13 |   Processing complete for partition: original_partition_0028_Subset28.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:17 |   Processing complete for partition: original_partition_0029_Subset29.phy; Execution time: 0.067 minutes
 INFO  | 2017-11-15 CET 02:11:18 |   Processing complete for partition: original_partition_0030_Subset30.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:19 |   Processing complete for partition: original_partition_0031_Subset31.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:20 |   Processing complete for partition: original_partition_0032_Subset32.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:21 |   Processing complete for partition: original_partition_0033_Subset33.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:22 |   Processing complete for partition: original_partition_0034_Subset34.phy; Execution time: 0.017 minutes
 INFO  | 2017-11-15 CET 02:11:22 |   Processing complete for partition: original_partition_0035_Subset35.phy; Execution time: 0.000 minutes
