 INFO  | 2017-11-15 CET 02:11:32 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-15 CET 02:11:32 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-15 CET 02:11:32 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-15 CET 02:11:32 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitionfinder -b /home/michael_science/git/partitionfinder/PartitionFinder.py -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW_partitionfinder_userscheme_2017.11.15.0211.mrbayes -v -k -u
 INFO  | 2017-11-15 CET 02:11:32 | Checking infiles
 INFO  | 2017-11-15 CET 02:11:32 |   Type of Modeltesting selected: partitionfinder
 INFO  | 2017-11-15 CET 02:11:32 | Re-formatting input NEXUS file
 INFO  | 2017-11-15 CET 02:11:33 | Splitting NEXUS file into blocks
 INFO  | 2017-11-15 CET 02:11:33 | Confirming that partitions do not overlap
 INFO  | 2017-11-15 CET 02:11:33 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-15 CET 02:11:33 | Splitting matrix into partitions
 INFO  | 2017-11-15 CET 02:11:40 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-15 CET 02:11:40 | Estimating model fit of user-defined partition scheme only
 INFO  | 2017-11-15 CET 02:11:41 | Conducting partitionfinding / modeltesting via: partitionfinder
 INFO  | 2017-11-15 CET 02:23:35 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-15 CET 02:23:35 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-15 CET 02:23:39 | Assemble new data- and new sets-block given optimal partitions
 INFO  | 2017-11-15 CET 02:23:54 | Writing new NEXUS output file.
 INFO  | 2017-11-15 CET 02:23:54 | Assembling output file
 INFO  | 2017-11-15 CET 02:23:57 | Cleaning up
 INFO  | 2017-11-15 CET 02:23:57 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW.nex; Execution time: 12.417 minutes
