INFO     | 2017-11-15 02:11:42,052 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-11-15 02:11:42,057 | config     | Setting 'alignment' to 'Gruenstaeudl_etal_2017_partitionfinder_NEW_PhylipFormatted'
INFO     | 2017-11-15 02:11:42,057 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-11-15 02:11:42,057 | parser     | You set 'models' to: mrbayes
INFO     | 2017-11-15 02:11:42,071 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2017-11-15 02:11:42,071 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2017-11-15 02:11:42,071 | config     | Setting 'model_selection' to 'aic'
INFO     | 2017-11-15 02:11:42,120 | config     | Setting 'search' to 'user'
INFO     | 2017-11-15 02:11:42,143 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2017-11-15 02:11:42,143 | config     | Looking for alignment file './Gruenstaeudl_etal_2017_partitionfinder_NEW_PhylipFormatted'...
INFO     | 2017-11-15 02:11:42,144 | threadpool | Using 4 cpus
INFO     | 2017-11-15 02:11:42,144 | analysis   | Beginning Analysis
INFO     | 2017-11-15 02:11:42,168 | alignment  | Reading alignment file './Gruenstaeudl_etal_2017_partitionfinder_NEW_PhylipFormatted'
INFO     | 2017-11-15 02:11:42,206 | analysis   | Starting tree will be estimated from the data.
INFO     | 2017-11-15 02:11:42,218 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2017-11-15 02:11:42,220 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2017-11-15 02:21:29,238 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2017-11-15 02:22:59,843 | raxml      | ML topology estimation finished
INFO     | 2017-11-15 02:22:59,843 | analysis_m | Performing User analysis
INFO     | 2017-11-15 02:23:35,017 | model_util | Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2017-11-15 02:23:35,029 | model_util | 
INFO     | 2017-11-15 02:23:35,029 | model_util | 
INFO     | 2017-11-15 02:23:35,029 | model_util | *Citations for this analysis*
INFO     | 2017-11-15 02:23:35,029 | model_util | -----------------------------
INFO     | 2017-11-15 02:23:35,029 | model_util | 
INFO     | 2017-11-15 02:23:35,030 | model_util | If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2017-11-15 02:23:35,030 | model_util | 
INFO     | 2017-11-15 02:23:35,030 | model_util | For the version of PartitionFinder you used, please cite:
INFO     | 2017-11-15 02:23:35,030 | model_util | Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2017-11-15 02:23:35,030 | model_util | 
INFO     | 2017-11-15 02:23:35,030 | model_util | For the user algorithm you used, please cite:
INFO     | 2017-11-15 02:23:35,030 | model_util | 
INFO     | 2017-11-15 02:23:35,030 | model_util | Your analysis also used RAxML, so please cite:
INFO     | 2017-11-15 02:23:35,031 | model_util | Stamatakis, A. (2014). RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies. Bioinformatics, 30(9), 1312-1313.
INFO     | 2017-11-15 02:23:35,031 | model_util | 
INFO     | 2017-11-15 02:23:35,033 | main       | Total processing time: 0:11:53 (h:m:s)
INFO     | 2017-11-15 02:23:35,033 | main       | Processing complete.
