 INFO  | 2017-11-15 CET 02:11:23 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-15 CET 02:11:23 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-15 CET 02:11:23 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-15 CET 02:11:23 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitiontest -b /usr/local/bin/partest -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW_partitiontest_userscheme_2017.11.15.0211.mrbayes -v -k -u
 INFO  | 2017-11-15 CET 02:11:23 | Checking infiles
 INFO  | 2017-11-15 CET 02:11:23 |   Type of Modeltesting selected: partitiontest
 INFO  | 2017-11-15 CET 02:11:23 | Re-formatting input NEXUS file
 INFO  | 2017-11-15 CET 02:11:23 | Splitting NEXUS file into blocks
 INFO  | 2017-11-15 CET 02:11:23 | Confirming that partitions do not overlap
 INFO  | 2017-11-15 CET 02:11:23 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-15 CET 02:11:24 | Splitting matrix into partitions
 INFO  | 2017-11-15 CET 02:11:31 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-15 CET 02:11:32 | Estimating model fit of user-defined partition scheme only
 INFO  | 2017-11-15 CET 02:11:32 | Conducting partitionfinding / modeltesting via: partitiontest
