 INFO  | 2017-11-15 CET 00:40:37 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-15 CET 00:40:37 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-15 CET 00:40:37 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-15 CET 00:40:37 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t sms -b /home/michael_science/git/sms-1.8.1/sms.sh -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitionfinder_NEW_sms_2017.11.15.0040.mrbayes -v -k
 INFO  | 2017-11-15 CET 00:40:37 | Checking infiles
 INFO  | 2017-11-15 CET 00:40:37 |   Type of Modeltesting selected: sms
 INFO  | 2017-11-15 CET 00:40:37 | Re-formatting input NEXUS file
 INFO  | 2017-11-15 CET 00:40:38 | Splitting NEXUS file into blocks
 INFO  | 2017-11-15 CET 00:40:38 | Confirming that partitions do not overlap
 INFO  | 2017-11-15 CET 00:40:38 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-15 CET 00:40:38 | Splitting matrix into partitions
 INFO  | 2017-11-15 CET 00:40:46 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-15 CET 00:40:48 | Conducting partitionfinding / modeltesting via: sms
 INFO  | 2017-11-15 CET 00:40:59 |   Processing complete for partition: original_partition_0001_Subset1.phy; Execution time: 0.183 minutes
 INFO  | 2017-11-15 CET 00:41:11 |   Processing complete for partition: original_partition_0002_Subset2.phy; Execution time: 0.200 minutes
 INFO  | 2017-11-15 CET 00:41:17 |   Processing complete for partition: original_partition_0003_Subset3.phy; Execution time: 0.100 minutes
