 INFO  | 2017-11-14 CET 00:52:26 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-14 CET 00:52:26 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-14 CET 00:52:26 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-14 CET 00:52:26 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitiontest -b /usr/local/bin/partest -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017_partitiontest_2017.11.14.0052.mrbayes -v -k
 INFO  | 2017-11-14 CET 00:52:26 | Checking infiles
 INFO  | 2017-11-14 CET 00:52:26 |   Type of Modeltesting selected: partitiontest
 INFO  | 2017-11-14 CET 00:52:26 | Re-formatting input NEXUS file
 INFO  | 2017-11-14 CET 00:52:26 | Splitting NEXUS file into blocks
 INFO  | 2017-11-14 CET 00:52:26 | Confirming that partitions do not overlap
 INFO  | 2017-11-14 CET 00:52:26 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-14 CET 00:52:26 | Splitting matrix into partitions
 INFO  | 2017-11-14 CET 00:52:30 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-14 CET 00:52:30 | Conducting partitionfinding / modeltesting via: partitiontest
 INFO  | 2017-11-14 CET 00:56:17 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-14 CET 00:56:18 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-14 CET 00:56:21 | Assemble new data- and new sets-block given optimal partitions
 INFO  | 2017-11-14 CET 00:56:29 | Writing new NEXUS output file.
 INFO  | 2017-11-14 CET 00:56:29 | Assembling output file
 INFO  | 2017-11-14 CET 00:56:30 | Cleaning up
 INFO  | 2017-11-14 CET 00:56:30 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Gruenstaeudl_etal_2017.nex; Execution time: 4.067 minutes
