 INFO  | 2017-11-14 CET 01:13:21 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-14 CET 01:13:21 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-14 CET 01:13:21 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-14 CET 01:13:21 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Richart_etal_2015.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitionfinder -b /home/michael_science/git/partitionfinder/PartitionFinder.py -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Richart_etal_2015_partitionfinder_2017.11.14.0113.mrbayes -v -k
 INFO  | 2017-11-14 CET 01:13:21 | Checking infiles
 INFO  | 2017-11-14 CET 01:13:21 |   Type of Modeltesting selected: partitionfinder
 INFO  | 2017-11-14 CET 01:13:21 | Re-formatting input NEXUS file
 INFO  | 2017-11-14 CET 01:13:22 | Splitting NEXUS file into blocks
 INFO  | 2017-11-14 CET 01:13:22 | Confirming that partitions do not overlap
 INFO  | 2017-11-14 CET 01:13:22 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-14 CET 01:13:22 | Splitting matrix into partitions
 INFO  | 2017-11-14 CET 01:14:22 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-14 CET 01:14:22 | Conducting partitionfinding / modeltesting via: partitionfinder
