INFO     | 2017-11-14 01:14:22,621 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-11-14 01:14:22,624 | config     | Setting 'alignment' to 'Richart_etal_2015_PhylipFormatted'
INFO     | 2017-11-14 01:14:22,624 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-11-14 01:14:22,624 | parser     | You set 'models' to: mrbayes
INFO     | 2017-11-14 01:14:22,633 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2017-11-14 01:14:22,633 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2017-11-14 01:14:22,633 | config     | Setting 'model_selection' to 'aic'
INFO     | 2017-11-14 01:14:22,911 | config     | Setting 'search' to 'rcluster'
INFO     | 2017-11-14 01:14:22,911 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2017-11-14 01:14:22,911 | config     | Looking for alignment file './Richart_etal_2015_PhylipFormatted'...
INFO     | 2017-11-14 01:14:22,911 | threadpool | Using 4 cpus
INFO     | 2017-11-14 01:14:22,911 | analysis   | Beginning Analysis
INFO     | 2017-11-14 01:14:22,976 | alignment  | Reading alignment file './Richart_etal_2015_PhylipFormatted'
INFO     | 2017-11-14 01:14:23,126 | analysis   | Starting tree will be estimated from the data.
INFO     | 2017-11-14 01:14:23,198 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2017-11-14 01:14:23,209 | raxml      | Using a separate GTR+G model for each data block
ERROR    | 2017-11-15 00:36:01,174 | main       | User interrupted the Program
