 INFO  | 2017-11-15 CET 03:09:18 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-15 CET 03:09:18 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-15 CET 03:09:18 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-15 CET 03:09:18 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitionfinder -b /home/michael_science/git/partitionfinder/PartitionFinder.py -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012_partitionfinder_2017.11.15.0309.mrbayes -v -k
 INFO  | 2017-11-15 CET 03:09:18 | Checking infiles
 INFO  | 2017-11-15 CET 03:09:18 |   Type of Modeltesting selected: partitionfinder
 INFO  | 2017-11-15 CET 03:09:19 | Re-formatting input NEXUS file
 INFO  | 2017-11-15 CET 03:09:20 | Splitting NEXUS file into blocks
 INFO  | 2017-11-15 CET 03:09:20 | Confirming that partitions do not overlap
 INFO  | 2017-11-15 CET 03:09:20 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-15 CET 03:09:20 | Splitting matrix into partitions
 INFO  | 2017-11-15 CET 03:09:21 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-15 CET 03:09:21 | Conducting partitionfinding / modeltesting via: partitionfinder
 INFO  | 2017-11-15 CET 08:22:10 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-15 CET 08:22:10 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-15 CET 08:22:11 | Assemble new data- and new sets-block given optimal partitions
 INFO  | 2017-11-15 CET 08:22:14 | Writing new NEXUS output file.
 INFO  | 2017-11-15 CET 08:22:14 | Assembling output file
 INFO  | 2017-11-15 CET 08:22:15 | Cleaning up
 INFO  | 2017-11-15 CET 08:22:15 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012.nex; Execution time: 312.950 minutes
