 INFO  | 2017-11-15 CET 00:36:01 | Evaluating system, bash shell and script execution
 INFO  | 2017-11-15 CET 00:36:01 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-11-15 CET 00:36:01 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-11-15 CET 00:36:01 |   Command used: partitNex2MrBayes_2017.11.13.2100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t partitiontest -b /usr/local/bin/partest -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012_partitiontest_2017.11.15.0036.mrbayes -v -k
 INFO  | 2017-11-15 CET 00:36:01 | Checking infiles
 INFO  | 2017-11-15 CET 00:36:01 |   Type of Modeltesting selected: partitiontest
 INFO  | 2017-11-15 CET 00:36:01 | Re-formatting input NEXUS file
 INFO  | 2017-11-15 CET 00:36:02 | Splitting NEXUS file into blocks
 INFO  | 2017-11-15 CET 00:36:02 | Confirming that partitions do not overlap
 INFO  | 2017-11-15 CET 00:36:02 | Ensuring that partitions form a continuous range
 INFO  | 2017-11-15 CET 00:36:02 | Splitting matrix into partitions
 INFO  | 2017-11-15 CET 00:36:03 | Preparing files for partitionfinding / modeltesting
 INFO  | 2017-11-15 CET 00:36:03 | Conducting partitionfinding / modeltesting via: partitiontest
 INFO  | 2017-11-15 CET 03:09:13 | Extracting information from partitionfinding / modeltesting results
 INFO  | 2017-11-15 CET 03:09:13 | Converting best-fit models to MrBayes lset-commands
 INFO  | 2017-11-15 CET 03:09:14 | Assemble new data- and new sets-block given optimal partitions
 INFO  | 2017-11-15 CET 03:09:17 | Writing new NEXUS output file.
 INFO  | 2017-11-15 CET 03:09:18 | Assembling output file
 INFO  | 2017-11-15 CET 03:09:18 | Cleaning up
 INFO  | 2017-11-15 CET 03:09:18 | Processing complete for file: /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Wainwright_etal_2012.nex; Execution time: 153.283 minutes
