Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-874,93017;1793,86034;1875,63494
HKY85;+G+I;23;-874,64189;1795,28378;1880,77541
HKY85;+I;22;-875,78578;1795,57156;1877,34616
TN93;+G;23;-874,89084;1795,78168;1881,27331
GTR;+G;26;-874,45534;1800,91068;1897,55340
GTR;+I;26;-875,08138;1802,16276;1898,80548
GTR;+G+I;27;-874,25428;1802,50856;1902,86830
K80;+G;19;-886,32284;1810,64568;1881,26920
HKY85;;21;-891,43938;1824,87876;1902,93634
GTR;;25;-890,49136;1830,98272;1923,90841
