 INFO  | 2017-09-19 CEST 18:53:16 | Evaluating system, bash shell and script execution
 INFO  | 2017-09-19 CEST 18:53:16 |   System info: Linux 4.12.8-2-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-09-19 CEST 18:53:16 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-09-19 CEST 18:53:16 |   Command used: partNex2MrBayes_2017.09.19.1800.sh -f /home/michael_science/git/michaelgruenstaeudl_partNex2MrBayes/examples/01_input/Leache_etal_2015.nex -t jmodeltest -b /home/michael_science/binaries/jModelTest_2.1.7/jModelTest.jar -o /home/michael_science/git/michaelgruenstaeudl_partNex2MrBayes/examples/01_input/Leache_etal_2015_jmodeltest_2017.09.19.1853.mrbayes -v -k
 INFO  | 2017-09-19 CEST 18:53:16 | Checking infiles
 INFO  | 2017-09-19 CEST 18:53:16 |   Type of Modeltesting selected: jmodeltest
 INFO  | 2017-09-19 CEST 18:53:16 | Re-formatting input NEXUS file
 INFO  | 2017-09-19 CEST 18:53:18 | Splitting NEXUS file into blocks
 INFO  | 2017-09-19 CEST 18:53:18 | Confirming that partitions do not overlap
 INFO  | 2017-09-19 CEST 18:53:18 | Ensuring that partitions form a continuous range
 INFO  | 2017-09-19 CEST 18:53:18 | Splitting matrix into partitions
 INFO  | 2017-09-19 CEST 18:54:34 | Preparing files for modeltesting
 INFO  | 2017-09-19 CEST 18:54:34 | Conducting modeltesting via: jmodeltest
 INFO  | 2017-09-19 CEST 18:55:02 |   Processing complete for partition: partition_001_adnp; Execution time: 0.467 minutes
 INFO  | 2017-09-19 CEST 18:55:33 |   Processing complete for partition: partition_002_akap9; Execution time: 0.517 minutes
 INFO  | 2017-09-19 CEST 18:56:17 |   Processing complete for partition: partition_003_anr; Execution time: 0.733 minutes
 INFO  | 2017-09-19 CEST 18:56:49 |   Processing complete for partition: partition_004_bach1; Execution time: 0.533 minutes
 INFO  | 2017-09-19 CEST 18:57:10 |   Processing complete for partition: partition_005_bdnf; Execution time: 0.350 minutes
