 INFO  | 2017-10-26 CEST 16:06:20 | Evaluating system, bash shell and script execution
 INFO  | 2017-10-26 CEST 16:06:20 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-10-26 CEST 16:06:20 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-10-26 CEST 16:06:20 |   Command used: partitNex2MrBayes_2017.10.26.1100.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Faircloth_etal_2013.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t sms -b /home/michael_science/git/sms-1.8.1/sms.sh -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Faircloth_etal_2013_sms_2017.10.26.1606.mrbayes -v -k
 INFO  | 2017-10-26 CEST 16:06:20 | Checking infiles
 INFO  | 2017-10-26 CEST 16:06:20 |   Type of Modeltesting selected: sms
 INFO  | 2017-10-26 CEST 16:06:20 | Re-formatting input NEXUS file
 INFO  | 2017-10-26 CEST 16:06:21 | Splitting NEXUS file into blocks
 INFO  | 2017-10-26 CEST 16:06:21 | Confirming that partitions do not overlap
 INFO  | 2017-10-26 CEST 16:06:21 | Ensuring that partitions form a continuous range
 INFO  | 2017-10-26 CEST 16:06:21 | Splitting matrix into partitions
 INFO  | 2017-10-26 CEST 16:07:10 | Preparing files for modeltesting
 INFO  | 2017-10-26 CEST 16:07:17 | Conducting modeltesting via: sms
 INFO  | 2017-10-26 CEST 16:07:40 |   Processing complete for partition: partition_001_10166_orylat2_chr13_13519567_13519747.phy; Execution time: 0.383 minutes
 INFO  | 2017-10-26 CEST 16:07:42 |   Processing complete for partition: partition_002_10231_orylat2_chr13_14145234_14145414.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-26 CEST 16:07:50 |   Processing complete for partition: partition_003_10259_orylat2_chr13_14195639_14195819.phy; Execution time: 0.133 minutes
 INFO  | 2017-10-26 CEST 16:07:53 |   Processing complete for partition: partition_004_10268_orylat2_chr13_14227519_14227698.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-26 CEST 16:08:11 |   Processing complete for partition: partition_005_10335_orylat2_chr13_14726871_14727126.phy; Execution time: 0.283 minutes
 INFO  | 2017-10-26 CEST 16:08:25 |   Processing complete for partition: partition_006_10349_orylat2_chr13_14747605_14747785.phy; Execution time: 0.233 minutes
 INFO  | 2017-10-26 CEST 16:08:34 |   Processing complete for partition: partition_007_10434_orylat2_chr13_14895221_14895401.phy; Execution time: 0.150 minutes
 INFO  | 2017-10-26 CEST 16:08:40 |   Processing complete for partition: partition_008_10604_orylat2_chr13_17393231_17393411.phy; Execution time: 0.100 minutes
 INFO  | 2017-10-26 CEST 16:08:48 |   Processing complete for partition: partition_009_10878_orylat2_chr13_22551206_22551385.phy; Execution time: 0.133 minutes
 INFO  | 2017-10-26 CEST 16:09:08 |   Processing complete for partition: partition_010_1094_orylat2_chr1_19834700_19834880.phy; Execution time: 0.333 minutes
 INFO  | 2017-10-26 CEST 16:09:22 |   Processing complete for partition: partition_011_11496_orylat2_chr13_30990773_30990952.phy; Execution time: 0.233 minutes
 INFO  | 2017-10-26 CEST 16:09:32 |   Processing complete for partition: partition_012_11838_orylat2_chr14_7626836_7627016.phy; Execution time: 0.167 minutes
 INFO  | 2017-10-26 CEST 16:10:02 |   Processing complete for partition: partition_013_1199_orylat2_chr1_20869179_20869358.phy; Execution time: 0.500 minutes
 INFO  | 2017-10-26 CEST 16:10:07 |   Processing complete for partition: partition_014_12247_orylat2_chr14_13870742_13870922.phy; Execution time: 0.067 minutes
 INFO  | 2017-10-26 CEST 16:10:16 |   Processing complete for partition: partition_015_12343_orylat2_chr14_14326976_14327156.phy; Execution time: 0.150 minutes
 INFO  | 2017-10-26 CEST 16:10:28 |   Processing complete for partition: partition_016_12379_orylat2_chr14_14534981_14535161.phy; Execution time: 0.200 minutes
 INFO  | 2017-10-26 CEST 16:10:30 |   Processing complete for partition: partition_017_12390_orylat2_chr14_14557181_14557360.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-26 CEST 16:10:33 |   Processing complete for partition: partition_018_12746_orylat2_chr14_17526526_17526706.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-26 CEST 16:10:40 |   Processing complete for partition: partition_019_12935_orylat2_chr14_18807458_18807637.phy; Execution time: 0.117 minutes
 INFO  | 2017-10-26 CEST 16:10:54 |   Processing complete for partition: partition_020_12961_orylat2_chr14_19155633_19155813.phy; Execution time: 0.233 minutes
 INFO  | 2017-10-26 CEST 16:11:12 |   Processing complete for partition: partition_021_13009_orylat2_chr14_19750656_19750836.phy; Execution time: 0.300 minutes
