 INFO  | 2017-10-30 CET 12:35:24 | Evaluating system, bash shell and script execution
 INFO  | 2017-10-30 CET 12:35:24 |   System info: Linux 4.13.4-1-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-10-30 CET 12:35:24 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-10-30 CET 12:35:24 |   Command used: partitNex2MrBayes_2017.10.30.1200.sh -f /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Crawford_etal_2012.nex -c /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/partitNex2MrBayes.cfg -t sms -b /home/michael_science/git/sms-1.8.1/sms.sh -o /home/michael_science/git/michaelgruenstaeudl_partitNex2MrBayes/examples/01_input/Crawford_etal_2012_sms_2017.10.30.1235.mrbayes -v -k
 INFO  | 2017-10-30 CET 12:35:24 | Checking infiles
 INFO  | 2017-10-30 CET 12:35:24 |   Type of Modeltesting selected: sms
 INFO  | 2017-10-30 CET 12:35:24 | Re-formatting input NEXUS file
 INFO  | 2017-10-30 CET 12:35:26 | Splitting NEXUS file into blocks
 INFO  | 2017-10-30 CET 12:35:26 | Confirming that partitions do not overlap
 INFO  | 2017-10-30 CET 12:35:26 | Ensuring that partitions form a continuous range
 INFO  | 2017-10-30 CET 12:35:26 | Splitting matrix into partitions
 INFO  | 2017-10-30 CET 12:37:50 | Preparing files for modeltesting
 INFO  | 2017-10-30 CET 12:38:04 | Conducting modeltesting via: sms
 INFO  | 2017-10-30 CET 12:38:06 |   Processing complete for partition: partition_001_chr10_2828.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:07 |   Processing complete for partition: partition_002_chr10_4312.phy; Execution time: 0.017 minutes
 INFO  | 2017-10-30 CET 12:38:09 |   Processing complete for partition: partition_003_chr10_4575.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:11 |   Processing complete for partition: partition_004_chr10_4599.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:13 |   Processing complete for partition: partition_005_chr10_4660.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:15 |   Processing complete for partition: partition_006_chr10_4748.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:17 |   Processing complete for partition: partition_007_chr10_4758.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:19 |   Processing complete for partition: partition_008_chr10_4790.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:21 |   Processing complete for partition: partition_009_chr10_5022.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:24 |   Processing complete for partition: partition_010_chr10_5678.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:38:26 |   Processing complete for partition: partition_011_chr10_5708.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:28 |   Processing complete for partition: partition_012_chr10_5739.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:29 |   Processing complete for partition: partition_013_chr11_1410.phy; Execution time: 0.017 minutes
 INFO  | 2017-10-30 CET 12:38:31 |   Processing complete for partition: partition_014_chr11_1600.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:32 |   Processing complete for partition: partition_015_chr11_1757.phy; Execution time: 0.017 minutes
 INFO  | 2017-10-30 CET 12:38:34 |   Processing complete for partition: partition_016_chr11_1787.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:36 |   Processing complete for partition: partition_017_chr11_1962.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:40 |   Processing complete for partition: partition_018_chr11_1999.phy; Execution time: 0.067 minutes
 INFO  | 2017-10-30 CET 12:38:43 |   Processing complete for partition: partition_019_chr11_2599.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:38:45 |   Processing complete for partition: partition_020_chr11_3108.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:47 |   Processing complete for partition: partition_021_chr11_3186.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:49 |   Processing complete for partition: partition_022_chr11_3190.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:50 |   Processing complete for partition: partition_023_chr11_3231.phy; Execution time: 0.017 minutes
 INFO  | 2017-10-30 CET 12:38:53 |   Processing complete for partition: partition_024_chr11_3232.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:38:55 |   Processing complete for partition: partition_025_chr11_3250.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:38:58 |   Processing complete for partition: partition_026_chr11_3287.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:38:59 |   Processing complete for partition: partition_027_chr11_3318.phy; Execution time: 0.017 minutes
 INFO  | 2017-10-30 CET 12:39:02 |   Processing complete for partition: partition_028_chr11_3345.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:39:04 |   Processing complete for partition: partition_029_chr11_3414.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:06 |   Processing complete for partition: partition_030_chr11_3418.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:08 |   Processing complete for partition: partition_031_chr11_3419.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:11 |   Processing complete for partition: partition_032_chr11_3420.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:39:14 |   Processing complete for partition: partition_033_chr11_3422.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:39:17 |   Processing complete for partition: partition_034_chr11_3428.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:39:21 |   Processing complete for partition: partition_035_chr11_3432.phy; Execution time: 0.067 minutes
 INFO  | 2017-10-30 CET 12:39:23 |   Processing complete for partition: partition_036_chr11_3447.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:25 |   Processing complete for partition: partition_037_chr11_3489.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:27 |   Processing complete for partition: partition_038_chr11_3508.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:31 |   Processing complete for partition: partition_039_chr11_3556.phy; Execution time: 0.067 minutes
 INFO  | 2017-10-30 CET 12:39:33 |   Processing complete for partition: partition_040_chr11_3582.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:38 |   Processing complete for partition: partition_041_chr11_4723.phy; Execution time: 0.083 minutes
 INFO  | 2017-10-30 CET 12:39:40 |   Processing complete for partition: partition_042_chr11_4777.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:43 |   Processing complete for partition: partition_043_chr11_4789.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:39:45 |   Processing complete for partition: partition_044_chr11_4808.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:48 |   Processing complete for partition: partition_045_chr11_5062.phy; Execution time: 0.050 minutes
 INFO  | 2017-10-30 CET 12:39:50 |   Processing complete for partition: partition_046_chr11_6409.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:51 |   Processing complete for partition: partition_047_chr11_6443.phy; Execution time: 0.017 minutes
 INFO  | 2017-10-30 CET 12:39:53 |   Processing complete for partition: partition_048_chr11_6465.phy; Execution time: 0.033 minutes
 INFO  | 2017-10-30 CET 12:39:57 |   Processing complete for partition: partition_049_chr12_1169.phy; Execution time: 0.067 minutes
