 INFO  | 2017-09-25 CEST 11:14:36 | Evaluating system, bash shell and script execution
 INFO  | 2017-09-25 CEST 11:14:36 |   System info: Linux 4.12.8-2-ARCH, proc: unknown, arch: x86_64, numcores: 4
 INFO  | 2017-09-25 CEST 11:14:36 |   Bash info: GNU bash, version 4.4.12(1)-release (x86_64-unknown-linux-gnu)
 INFO  | 2017-09-25 CEST 11:14:36 |   Command used: partNex2MrBayes_2017.09.22.1000.sh -f /home/michael_science/git/michaelgruenstaeudl_partNex2MrBayes/examples/01_input/Faircloth_etal_2013.nex -t jmodeltest -b /home/michael_science/binaries/jModelTest_2.1.7/jModelTest.jar -o /home/michael_science/git/michaelgruenstaeudl_partNex2MrBayes/examples/01_input/Faircloth_etal_2013_jmodeltest_2017.09.25.1114.mrbayes -v -k
 INFO  | 2017-09-25 CEST 11:14:36 | Checking infiles
 INFO  | 2017-09-25 CEST 11:14:36 |   Type of Modeltesting selected: jmodeltest
 INFO  | 2017-09-25 CEST 11:14:36 | Re-formatting input NEXUS file
 INFO  | 2017-09-25 CEST 11:14:37 | Splitting NEXUS file into blocks
 INFO  | 2017-09-25 CEST 11:14:37 | Confirming that partitions do not overlap
 INFO  | 2017-09-25 CEST 11:14:37 | Ensuring that partitions form a continuous range
 INFO  | 2017-09-25 CEST 11:14:37 | Splitting matrix into partitions
 INFO  | 2017-09-25 CEST 11:16:35 | Preparing files for modeltesting
 INFO  | 2017-09-25 CEST 11:16:35 | Conducting modeltesting via: jmodeltest
 INFO  | 2017-09-25 CEST 11:23:19 |   Processing complete for partition: partition_001_10166_orylat2_chr13_13519567_13519747; Execution time: 6.733 minutes
 INFO  | 2017-09-25 CEST 11:26:06 |   Processing complete for partition: partition_002_10231_orylat2_chr13_14145234_14145414; Execution time: 2.783 minutes
 INFO  | 2017-09-25 CEST 11:30:35 |   Processing complete for partition: partition_003_10259_orylat2_chr13_14195639_14195819; Execution time: 4.483 minutes
 INFO  | 2017-09-25 CEST 11:34:04 |   Processing complete for partition: partition_004_10268_orylat2_chr13_14227519_14227698; Execution time: 3.483 minutes
